Column1,OBJECT_ID,ALERT_TYPE,ACTIVE_MUWI,OFFSET_MUWI,ALERT_TIME,ELAPSED_TIME(Tn-T0) in Min,SAND,FLUID_VOLUME,ACTIVE_TUBE_PRESSURE - Only For Offset,ACTIVE_CASE_PRESSURE - Only For Offset,THRESHOLD_TUBE_PRESSURE - Only For Offset,THRESHOLD_CASE_PRESSURE - Only For Offset,SAND_CONC,IS_ACKNOWLEDGED,SEVERITY,IS_VALID,ACTIVE_WELL,OFFSET_WELL - Only for Offset Alert,STAGE,DETECTED_COST_ESTIMATE- for Cost Alert,DETECTED_COST_PLANNED- for Cost Alert,COST_OVERRUN_THRESHOLD - for Cost Alert,SLURRY_RATE_THRESHOLD,WH_PRESSURE_INCREASE_THRESHOLD,TOTAL_SAND_THRESHOLD,WH_SAND_CONC_THRESHOLD,SLURRY_RATE_INCREASE_THRESHOLD,DETECTED_SLURRY_RATE,DETECTED_WH_PRESSURE
1,c7ae1f390e7c4ee2a6f61a892109e1c8,Screen Out,9264225500000000NEK0085H1,,22-01-2021 19:05,161,258412.483,6747.326,,,,,2.01,FALSE,,TRUE,JOG UNIT 16H,,11,,,,40,100,25000,0.2,3,81.082,10113.268
2,05a10b898dbe4f08b82dfb32549bf007,Screen Out,9264225500000000NEK0085H1,,20-01-2021 18:52,6540,60362.206,3148.131,,,,,1.074,FALSE,,TRUE,JOG UNIT 16H,,7,,,,40,100,25000,0.2,3,85.435,10060.923
3,c08ee4139c2e4d109b852702475bd0bd,Screen Out,9264225500000000NEK0085H1,,20-01-2021 20:14,6622,510020.887,9645.118,,,,,2.7,FALSE,,TRUE,JOG UNIT 16H,,7,,,,40,100,25000,0.2,3,83.789,10401.259
4,80c11dd85f73422ca6e6c8454fc96a53,Screen Out,9264225500000000NEK0138H1,,18-01-2021 04:22,420,214028.055,5403.285,,,,,2.051,FALSE,,TRUE,JOG UNIT 8H,,8,,,,40,100,25000,0.2,3,84.521,10427.023
5,49ae75c195794cbd8e8b8d7e0fc947ee,Screen Out,9264225500000000NEK0134H1,,18-01-2021 09:02,119,36238.30859,2218.129883,,,,,0.68,FALSE,,TRUE,Joe Burreaux Unit 3H,,15,,,,40,100,25000,0.2,3,89.407997,10420.31348
6,a608a53e584f4e19a09845f7f1ab5efa,Screen Out,9264225500000000NEK0134H1,,18-01-2021 09:03,119,37287.26953,2252.89502,,,,,0.701,FALSE,,TRUE,Joe Burreaux Unit 3H,,15,,,,40,100,25000,0.2,3,89.407997,10420.31348
7,ab55dd37ca914ffa9e5f7d88fc885989,Screen Out,9264225500000000NEK0078H1,,18-01-2021 09:07,232,196084.823,7759.848,,,,,0.883,FALSE,,TRUE,JOG UNIT 9H,,2,,,,40,100,25000,0.2,3,55.195,10907.386
8,a5451adf31f8422389d9432c519f34a9,Screen Out,9264225500000000NEK0134H1,,18-01-2021 09:35,151,163619.625,4987.336914,,,,,1.469,FALSE,,TRUE,Joe Burreaux Unit 3H,,15,,,,40,100,25000,0.2,3,89.727997,10583.43848
9,5630034855c145f3bd78a5fd70e0e3d3,Screen Out,9264225500000000NEK0134H1,,18-01-2021 10:12,188,232831.7031,6642.005859,,,,,0.402,FALSE,,TRUE,Joe Burreaux Unit 3H,,15,,,,40,100,25000,0.2,3,85.849998,10071.56348
10,ade9374aecdf46149b0cd62f46817e6a,Screen Out,9264225500000000NEK0076H1,,18-01-2021 11:53,110,48977.912,2437.244,,,,,0.313,FALSE,,TRUE,JOG UNIT 10H,,8,,,,40,100,25000,0.2,3,82.782,10234.794
